UnitLU,Unit Type,Unit No,Unit Name,Warrant,Meeting Dates,Last Installation,Hall,Add No Postcode,,,,,,Last Installation:,March 14th 2026,,2nd,Saturday,March
RA7986,RA,7986,Chapter of St. Martin,"Charter dated 4 April, 1995. Consecrated 4 April 1995. ","Tyles at 6.00pm on the second Thursday in September, and the first Thursday in December, February and May (Installation).",May 7th 2026,Wareham,"Wareham Freemasons Hall, Howards Lane, Wareham",,1st,Thursday,May,,,,,,,
RA8099,RA,8099,Vespasian Chapter,Charter dated 1 May 1975. Consecrated 9 July 1975. ,"Tyles at 6.00pm on the third Thursday in February and November (Installation), the fourth Tuesday in May and the second Tuesday in September.",November 20th 2025,Branksome,"Branksome Freemasons Hall, 57 Ashley Road, Poole",,3rd,Thursday,November,,,,,,,
RA9050,RA,9050,Amphibious Chapter,Charter dated 13 February 1985. Consecrated 17 April 1985. ,"Tyles at 6.00pm  on the third Wednesday of January, March (Installation), June and October.",March 18th 2026,Wimborne,"Wimborne Freemasons Hall, 7a Corn Market, Wimborne",,3rd,Wednesday,March,,,,,,,
RA9177,RA,9177,Verwood Chapter,Charter dated 11 December 1996. Consecrated 10 April 1997. ,"Tyles at 6.00pm on the fourth Thursday in March, second Thursday in May and September (Installation), and the third Thursday in December.",September 11th 2025,Wimborne,"Wimborne Freemasons Hall, 7a Corn Market, Wimborne",,2nd,Thursday,September,,,,,,,
RA9649,RA,9649,Chapter of Diversity,Charter dated 28 April 2016. Consecrated 27 July 2016. ,Tyles at at 11.00am on the second Wednesday in March (Installation) and at various locations in the Province in July and October.,March 11th 2026,Kinson,"Kinson Freemasons Hall, Ferncroft Road, Bournemouth",,2nd,Wednesday,March,,,,,,,
AMD184,AMD,184,St. Cuthberga Council,Warrant dated 19 June 2003., on the third Saturday in January (Installation) and the second Saturday in March and July.,January 17th 2026," the Masonic Hall, Corn Market, Wimborne Minster",,,3rd,Saturday,January,,,,,,,
STOA114,STOA,114,Saint Martin of Tours Chapel,Warrant and Consecration dated 10 December 2014. , on the first Saturday in April (Installation) and the last Friday in November.,April 4th 2026," the Masonic Hall, Howards Lane, Wareham",,,1st,Saturday,April,,,,,,,
KT31,KT,31,All Souls' Preceptory,Warrant dated 26 March 1847. Centenary Warrant dated 26 March 1947. ," the third Friday in March (Installation), May, September and November.",March 20th 2026," the Masonic Hall, 2 School Street, Weymouth ",,,3rd,Friday,March,,,,,,,
KT98,KT,98,Hyde Preceptory,Warrant dated 1 October 1867. Transferred under sanction of Great Priory from Bridport to Wimborne 27 April 1886; and similarly from Wimborne to Poole 24 October 1967.," the first Tuesday in January, April (Installation), July and October.",April 7th 2026," the Masonic Hall, Howard’s Lane, Wareham",,,1st,Tuesday,April,,,,,,,
KT595,KT,595,Vale of Dorset Preceptory,Warranted and Consecrated on 13 December 1994. ," on the second Tuesday in March, May, September & December (Installation).",December 9th 2025," the Kinson Masonic Hall, Ferncroft Road, Bournemouth",,,2nd,Tuesday,December,,,,,,,
KT733,KT,733,Philip de Cognac Preceptory,"Warrant  2026.
","on Friday 1st May  (Installation), Friday 16th October 2026 and Friday 19th February 2027 ",May 1st 2026, Beaminster Masonic Hall ,,,2nd,Wednesday,March,01 May 2026,,,,,,
KTP47,KTP,47,St. Peter and St. Paul Tabernacle,Warrant dated 14 March 1972. Consecrated 12 May 1972. ," the third Friday in March (Installation), May, September and November.",March 20th 2026," the Masonic Hall, West Street, Blandford Forum ",,,3rd,Friday,March,,,,,,,
KTP159,KTP,159,St. Mary the Virgin Tabernacle,Warranted and Consecrated on 14 March 1991. , the Second Thursday in March (Installation) and the first Tuesday in September.,March 12th 2026," the Masonic Hall, Oxford Street, Marlborough",,,2nd,Thursday,March,,,,,,,
KTP193,KTP,193,The Revelation Tabernacle,Warrant dated 3 March 1996. Consecrated 30 March 1996. , on the fourth Tuesday in March (Installation) and November.,March 24th 2026," the Kinson Masonic Hall, Ferncroft Road, Bournemouth",,,4th,Tuesday,March,,,,,,,
OSC103,OSC,103,Blandford Consistory,Warrant and Consecration dated 7 January 2015., on the second Wednesday in April (Installation) and November.,April 8th 2026," the Masonic Hall, West Street, Blandford Forum",,,2nd,Wednesday,April,,,,,,,
OSC116,OSC,116,Kinson Consistory,Warrant dated 1st March 2017,on the third Thursday April and First Monday November (Installation) - ,November 3rd 2025," Kinson Masonic Hall, Ferncroft Road, Bournemouth, Dorset BH10 6BY",,,1st,Monday,November,,,,,,,
OSC3 T.I.,OSC,3 T.I.,Dorset Consistory,Warrant dated 21 July 2010. , on the fourth Friday in February (Installation) and June,February 27th 2026," the Masonic Hall, Howard's Lane, Wareham",,,4th,Friday,February,,,,,,,
OSM111,OSM,111,Werham Conclave,Warrant dated 18 June 1951. Consecrated 8 September 1951.," on the second Thursday in March, June, October (Installation) and December.",October 9th 2025," the Masonic Hall, Howard's Lane, Wareham",,,2nd,Thursday,October,,,,,,,
OSM180,OSM,180,Weymouth Conclave,Warrant dated 27 May 1963. Consecrated 20 September 1963.," on the fourth Tuesday in February, May, September and the first Tuesday in December (Installation).",December 2nd 2025," the Shaftesbury Hall, Victoria Square, Portland",,,1st,Tuesday,December,,,,,,,
OSM196,OSM,196,Shield of David Conclave,Warrant dated 20th June 1967.," on the third Thursday in February, May, October (Installation) and on the second Saturday in December.",October 2nd 2025," the Masonic Centre, The Planks, Swindon",,,1st,Thursday,October,,,,,,,
OSM290,OSM,290,Faithful Friendship Conclave,Warrant dated 8 July 1978. Consecrated 14 November 1978.," on the second Tuesday in January, June, September and November (Installation).",November 11th 2025," Freemasons' Hall, Knole Road, Bournemouth",,,2nd,Tuesday,November,,,,,,,
OSM322,OSM,322,St. Edmund Conclave,Warrant dated 31 May 1983.," on the second Friday of January, April and October (Installation).",October 10th 2025," the Masonic Hall, Stainer Road, Calne",,,2nd,Friday,October,,,,,,,
OSM364,OSM,364,White Horse Conclave,Warrant dated 5 August 1991.," on the first Tuesday in February, May (Installation) and November.",May 5th 2026," the Masonic Hall, Warminster Road, Westbury",,,1st,Tuesday,May,,,,,,,
OSM392,OSM,392,Forum Conclave,Warrant and Consecration dated 19 November 1994.," on the third Wednesday in February, May and October (Installation).",October 15th 2025," the Masonic Hall, West Street, Blandford Forum",,,3rd,Wednesday,October,,,,,,,
OSM497,OSM,497,Karwan Conclave,Warrant and Consecration dated 8 July 2006.shall direct., on a Saturday in July and September at such time and date the Supreme Ruler and Executive.  Installation meeting  on the Saturday previous to the May Day Bank Holiday.,April 25th 2026," at the Masonic Hall, Oxford Street, Marlborough",,,2nd,Wednesday,March,25 April 2026,,,,,,
OSM608,OSM,608,Bridport Conclave,Warrant and Consecration dated 15 October 2012.," on the third Monday in February, June and October (Installation).",October 20th 2025," the Masonic Hall, 124 East Street, Bridport",,,3rd,Monday,October,,,,,,,
RCOC258,RCOC,258,St. Candida Conclave,Warrant dated 12 February 1970. Consecrated 20 July 1970.," on the first Thursday in April, fourth Thursday in October (Enthronement) and the first Thursday in December.",October 23rd 2025," the Masonic Hall, Broad Street, Lyme Regis by Dispensation",,,4th,Thursday,October,,,,,,,
RCOC313,RCOC,313,Hagia Sophia Conclave,Warrant dated 20 October 1976. Consecrated 4 February 1977. ," on the third Friday in January, fourth Monday in June and the first Tuesday in November (Enthronement).",November 4th 2025," the Masonic Hall, Howard's Lane, Wareham",,,1st,Tuesday,November,,,,,,,
RCOC380,RCOC,380,Magnaura Conclave,Warrant dated 30 November 1984. Consecrated 18 April 1985.," on the third Thursday in January, May (Enthronement) and October.",May 15th 2025,"  the Masonic Hall, 57 Ashley Road, Branksome",,,3rd,Thursday,May,,,,,,,
RCOC399,RCOC,399,Wessex Sovereigns' Conclave,Warrant dated 10 November 1987. Consecrated 5 December 1987. , on the second Thursday in May (Enthronement) and the second Tuesday in September.,March 11th 2026," the Kinson Masonic Hall, Ferncroft Road, Bournemouth",,,2nd,Wednesday,March,,,,,,,
RCOC404,RCOC,404,Heraclius Conclave,Warrant dated 26 May 1989. Consecrated 19 August 1989. ," on the fifth Thursday in each month, except July, August and December. Enthronement at the last regular meeting of the Calendar Year.",October 30th 2025," the Kinson Masonic Hall, Ferncroft Road, Bournemouth",,,5th,Thursday,October,,,,,,,
RCOC447,RCOC,447,Milion Conclave,Warranted and Consecrated on 19 December 1996. ," in the morning of the fifth Friday in each month, except July, August and December. Enthronement at the regular meeting after August.",October 31st 2025," the Masonic Hall, Howard's Lane, Wareham",,,5th,Friday,October,,,,,,,
RCOC448,RCOC,448,Scholarii Conclave,Warranted and Consecrated on 19 December 1996., in the morning of the fourth Tuesday in April and the fourth Monday in October (Enthronement).,October 22nd 2025," the Masonic Hall, Howard's Lane, Wareham",,,4th,Wednesday,October,,,,,,,
RC4,RC,4,Weymouth Chapter Rose Croix,Warrant dated 21 March 1852. Centenary Warrant granted 1952; presented 1979.,Fourth Thursday in March and July and the third Thursday in October (Enthronement).,October 16th 2025,Weymouth Masonic Hall,,,3rd,Thursday,October,,,,,,,
RC597,RC,597,Poole Chapter Rose Croix,Warrant dated 27 February 1964. Consecrated 26 May 1964. ," on the third Thursday in February, second Monday in June (Enthronement) and September, and the penultimate working day of December.",June 9th 2025," the Masonic Hall, Market Close, Poole",,,2nd,Monday,June,,,,,,,
RC768,RC,768,St. Leonard's Chapter Rose Croix,Warrant dated 26 September 1974. Consecrated 31 January 1975.," on the second Friday in February, April, June (Enthronement) and October.",June 13th 2025,"the Masonic Hall, West Street, Blandford Forum",,,2nd,Friday,June,,,,,,,
RC1019,RC,1019,Kinson Chapter Rose Croix,Warrant dated 13 September 1990. Consecrated 9 April 1991. ," on the first Tuesday in February, May and October (Enthronement).",October 7th 2025," the Kinson Masonic Hall, Ferncroft Road, Bournemouth",,,1st,Tuesday,October,,,,,,,
RC1068,RC,1068,Stour Vale Chapter Rose Croix,Warrant dated 15 September 1993. Consecrated 11 January 1994. ," on the third Wednesday in February, May and October (Enthronement).",October 15th 2025,"the Masonic Hall, Corn Market, Wimborne",,,3rd,Wednesday,October,,,,,,,
RC1078,RC,1078,Portland Chapter Rose Croix,Warrant dated 6 October 1994. Consecrated 25 January 1995.," on fifth Monday, except July, August and December. Enthronement third meeting.",September 29th 2025," the Shaftesbury Hall, Victoria Square, Portland",,,5th,Monday,September,,,,,,,
RC1127,RC,1127,Palladwr Chapter Rose Croix,Warrant dated 14 October 1999. Consecrated 29 February 2000.," on the second Tuesday in March (Enthronement), July and October.",March 10th 2026," the Masonic Hall, Bell Street, Shaftesbury",,,2nd,Tuesday,March,,,,,,,
RC1162,RC,1162,Durnsœta Chapter Rose Croix,Warrant dated 8 January 2004. Consecrated 12 May 2004. , on the fourth Thursday in February (Enthronement) and second Friday in July.,February 26th 2026,"Meet at the Masonic Hall, West Street, Blandford (except if notice states otherwise) The Chapter was Founded for the association of Brethren being Past Sovereigns of the 30° or higher of the Ancient and Accepted Rite of Freemasonry.",,,4th,Thursday,February,,,,,,,
RC1212,RC,1212,Dorchester Chapter Rose Croix,Warrant and Consecration dated 15 March 2017.,"the fourth Wednesday in March (Enthronement), June and September.",March 25th 2026,"the Masonic Hall, 1 Alington Street, Dorchester",,,4th,Wednesday,March,,,,,,,
RSM209,RSM,209,Branksome Council,Consecrated 5 September 1997.," on the third Saturday in March, fourth Saturday in September (Installation) and third Saturday in November. Installation at the first regular meeting of the year.",September 27th 2025," the Masonic Hall, 57 Ashley Road, Branksome",,,4th,Saturday,September,,,,,,,
RSM263,RSM,263,Terra Regis Council,"Consecrated 22 March 2005.
"," on the fifth Friday, except for July, August and December.   Installation at the first regular meeting of the year.",January 30th 2026," the Shaftesbury Hall, Victoria Square, Portland",,,5th,Friday,January,,,,,,,
PBQPBQ,PBQ,PBQ,Purbeck Quarries Assemblage,Patent dated 17 May 1969. Constituted 16 June 1969. ,"on the fourth Friday of January, March, April and October. The Deputy M.M. recommended March and Installed October.",October 22nd 2025," the Masonic Hall, Howard's Lane, Wareham ",,,4th,Wednesday,October,,,,,,,
