Unit Type,Unit No,Unit Name,Short Name,Super Short Name,Warrant,Meeting Dates,Last Installation,Hall,Location,Email
RA,2689,King's Court Chapter,King's Court Chapter,King's Court,Charter dated 2 November 1920.,"Tyles at 6.15pm on the second Wednesday in February, March, April (Installation), October and November.",April 8th 2026,Gillingham,"Gillingham Freemasons Hall, Station Road, Gillingham",ra2689@dorsetfreemasonry.info
RA,3366,Dorset First Principals Chapter,Dorset First Principals Chapter,Dorset First Principals,Charter dated 1 May 1975. Consecrated 20 June 1975.,Tyles at 11.00am on the third Friday in April and October (Installation).,October 17th 2025,Dorchester,"Dorchester Freemasons Hall, Alington Street, Dorchester",ra3366@dorsetfreemasonry.info
RA,3473,United Service Chapter,United Service Chapter,United Service,Charter dated 4 August 1920.,"Tyles at 6.15pm on the second Monday in January, March, May, September (Installation) and November.",September 8th 2025,Portland,"Portland Freemasons Hall, 1 Victoria Square, Portland",ra3473@dorsetfreemasonry.info
RA,5331,Kinson Chapter,Kinson Chapter,Kinson,Charter dated 1 November 1950. Consecrated 30 March 1951.,"Tyles at 6.00pm at the Kinson Masonic Hall, on the fourth Friday in January, March (Installation), September and November.",March 27th 2026,Kinson,"Kinson Freemasons Hall, Ferncroft Road, Bournemouth",ra5331@dorsetfreemasonry.info
RA,6445,Loyal Manor Chapter,Loyal Manor Chapter,Loyal Manor,Charter dated 25 April 1963. Consecrated 18 June 1963.,"Tyles at 6.00pm on the first Tuesday in February, April, October (Installation), and second Tuesday in December",October 7th 2025,Portland,"Portland Freemasons Hall, 1 Victoria Square, Portland",ra6445@dorsetfreemasonry.info
RA,7986,Chapter of St. Martin,Chapter of St. Martin,St. Martin,"Charter dated 4 April, 1995. Consecrated 4 April 1995.","Tyles at 6.00pm on the second Thursday in September, and the first Thursday in December, February and May (Installation).",May 1st 2025,Wareham,"Wareham Freemasons Hall, Howards Lane, Wareham",ra7986@dorsetfreemasonry.info
RA,8099,Vespasian Chapter,Vespasian Chapter,Vespasian,Charter dated 1 May 1975. Consecrated 9 July 1975.,"Tyles at 6.00pm on the third Thursday in February and November (Installation), the fourth Tuesday in May and the second Tuesday in September.",November 20th 2025,Branksome,"Branksome Freemasons Hall, 57 Ashley Road, Poole",ra8099@dorsetfreemasonry.info
RA,9050,Amphibious Chapter,Amphibious Chapter,Amphibious,Charter dated 13 February 1985. Consecrated 17 April 1985.,"Tyles at 6.00pm on the third Wednesday of January, March (Installation), June and October.",March 18th 2026,Wimborne,"Wimborne Freemasons Hall, 7a Corn Market, Wimborne",ra9050@dorsetfreemasonry.info
RA,9177,Verwood Chapter,Verwood Chapter,Verwood,Charter dated 11 December 1996. Consecrated 10 April 1997.,"Tyles at 6.00pm on the fourth Thursday in March, second Thursday in May and September (Installation), and the third Thursday in December.",September 11th 2025,Wimborne,"Wimborne Freemasons Hall, 7a Corn Market, Wimborne",ra9177@dorsetfreemasonry.info
RA,9649,Chapter of Diversity,Chapter of Diversity,Diversity,Charter dated 28 April 2016. Consecrated 27 July 2016.,Tyles at at 11.00am on the second Wednesday in March (Installation) and at various locations in the Province in July and October.,March 11th 2026,Kinson,"Kinson Freemasons Hall, Ferncroft Road, Bournemouth",ra9649@dorsetfreemasonry.info
